                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    113,                0.80171,                0.70629,                 1.3854,                0.84307,                0.74677,                0.85368,                0.63826,                0.79278,                0.76315,                 1.4298,              0.0045055,              0.0045055,              0.0045055
                    114,                0.78706,                0.68645,                 1.3661,                0.80355,                0.71812,                 0.8387,                0.62311,                0.77801,                0.80856,                 1.4366,               0.004456,               0.004456,               0.004456
                    115,                0.79102,                0.69648,                 1.3773,                0.81593,                0.76863,                0.87005,                0.66366,                0.75455,                0.74891,                 1.4134,              0.0044065,              0.0044065,              0.0044065
                    116,                0.78389,                0.68663,                 1.3669,                0.69636,                0.78334,                0.81666,                0.60303,                0.79482,                0.88639,                 1.4558,               0.004357,               0.004357,               0.004357
                    117,                0.77653,                 0.6836,                  1.365,                0.73793,                0.85555,                0.88249,                0.65895,                0.77293,                0.73935,                 1.4302,              0.0043075,              0.0043075,              0.0043075
                    118,                0.80267,                0.69193,                 1.3836,                0.83387,                0.74229,                0.87177,                0.66118,                0.78192,                0.73733,                 1.4318,               0.004258,               0.004258,               0.004258
                    119,                0.78246,                0.68791,                 1.3676,                0.74229,                0.83124,                0.86686,                0.64592,                0.80128,                0.76068,                 1.4586,              0.0042085,              0.0042085,              0.0042085
                    120,                0.77914,                0.68449,                 1.3634,                0.84716,                0.78373,                0.88045,                0.64957,                0.79147,                0.73358,                 1.4571,               0.004159,               0.004159,               0.004159
                    121,                0.79003,                0.69247,                 1.3864,                0.76858,                0.78581,                0.87281,                0.66246,                0.80433,                0.72953,                 1.4602,              0.0041095,              0.0041095,              0.0041095
                    122,                 0.7693,                0.66416,                 1.3545,                0.83751,                0.73497,                0.86005,                0.64999,                0.77727,                0.73915,                  1.423,                0.00406,                0.00406,                0.00406
                    123,                0.77136,                0.66876,                 1.3498,                0.75722,                0.77957,                0.86697,                0.64896,                   0.78,                0.74941,                 1.4281,              0.0040105,              0.0040105,              0.0040105
                    124,                0.76693,                0.66685,                 1.3511,                0.76772,                0.77569,                0.86212,                0.64735,                0.77688,                0.74054,                 1.4252,               0.003961,               0.003961,               0.003961
                    125,                0.77101,                 0.6745,                 1.3559,                0.74225,                0.80265,                0.85298,                0.63799,                 0.7499,                0.78124,                 1.4101,              0.0039115,              0.0039115,              0.0039115
                    126,                0.75731,                 0.6516,                 1.3359,                0.81552,                0.77812,                0.88037,                0.66631,                0.75279,                0.72997,                 1.4135,               0.003862,               0.003862,               0.003862
                    127,                0.76497,                0.66618,                 1.3492,                0.82481,                0.73741,                0.86441,                0.65978,                0.75784,                0.73481,                 1.4235,              0.0038125,              0.0038125,              0.0038125
                    128,                 0.7742,                0.66967,                 1.3444,                0.85396,                 0.7487,                0.87563,                0.66944,                0.76145,                0.74989,                   1.41,               0.003763,               0.003763,               0.003763
                    129,                0.75573,                0.65883,                 1.3385,                0.83609,                0.75035,                0.87528,                0.66414,                0.78744,                0.70126,                 1.4329,              0.0037135,              0.0037135,              0.0037135
                    130,                0.75888,                0.66862,                  1.342,                0.77667,                 0.7792,                0.87904,                0.67338,                 0.7526,                0.72712,                 1.4138,               0.003664,               0.003664,               0.003664
                    131,                0.75511,                0.64546,                 1.3441,                0.89319,                0.73305,                  0.876,                0.66549,                0.78235,                0.69531,                 1.4473,              0.0036145,              0.0036145,              0.0036145
                    132,                0.74326,                0.63659,                 1.3242,                0.89051,                0.76636,                0.89307,                0.68887,                0.75202,                0.69553,                 1.4072,               0.003565,               0.003565,               0.003565
                    133,                0.76997,                0.67027,                 1.3566,                0.80361,                0.79869,                0.87363,                0.65232,                0.77739,                0.72734,                 1.4287,              0.0035155,              0.0035155,              0.0035155
                    134,                0.75711,                0.65077,                 1.3413,                0.88255,                0.75804,                0.89678,                0.68697,                0.75355,                0.69211,                  1.402,               0.003466,               0.003466,               0.003466
                    135,                0.75393,                0.65283,                 1.3381,                0.75055,                0.85649,                0.89503,                0.68031,                0.76096,                0.70352,                 1.4211,              0.0034165,              0.0034165,              0.0034165
                    136,                0.74909,                0.64711,                 1.3348,                0.79641,                0.74234,                0.86307,                0.66345,                0.76854,                0.74307,                 1.4325,               0.003367,               0.003367,               0.003367
                    137,                  0.754,                0.64402,                 1.3374,                0.81225,                 0.6953,                0.83233,                0.63755,                0.75545,                0.77507,                 1.4174,              0.0033175,              0.0033175,              0.0033175
                    138,                 0.7443,                0.63925,                 1.3284,                0.81546,                0.78697,                0.86981,                0.66568,                0.73821,                0.71383,                 1.3895,               0.003268,               0.003268,               0.003268
                    139,                0.75566,                0.66743,                 1.3493,                0.80533,                0.79416,                0.87782,                0.67114,                0.75991,                0.70061,                  1.406,              0.0032185,              0.0032185,              0.0032185
                    140,                0.74157,                0.64399,                 1.3254,                0.79626,                0.79519,                0.86478,                0.65162,                0.78217,                0.77067,                 1.4298,               0.003169,               0.003169,               0.003169
                    141,                0.74534,                0.64163,                 1.3251,                0.76663,                0.82065,                0.87614,                0.66366,                0.78488,                0.71984,                 1.4207,              0.0031195,              0.0031195,              0.0031195
                    142,                 0.7328,                0.62642,                 1.3208,                0.78575,                0.84325,                0.89902,                0.68312,                0.75994,                0.68513,                 1.4083,                0.00307,                0.00307,                0.00307
                    143,                0.74124,                0.62564,                  1.328,                0.78608,                0.79618,                0.87596,                0.66407,                0.75949,                0.72511,                 1.4156,              0.0030205,              0.0030205,              0.0030205
                    144,                0.74371,                 0.6369,                 1.3295,                0.73139,                0.85402,                0.87345,                0.66423,                0.75741,                0.69811,                 1.4079,               0.002971,               0.002971,               0.002971
                    145,                0.73552,                0.63282,                 1.3317,                0.82033,                0.75567,                0.86867,                0.65484,                0.75875,                0.70749,                 1.3925,              0.0029215,              0.0029215,              0.0029215
                    146,                0.73528,                0.63441,                 1.3167,                0.84876,                0.78485,                0.87222,                0.65589,                0.78862,                  0.717,                 1.4279,               0.002872,               0.002872,               0.002872
                    147,                0.74194,                0.63688,                 1.3318,                0.78128,                0.84031,                0.89835,                0.66745,                0.79557,                0.70268,                 1.4375,              0.0028225,              0.0028225,              0.0028225
                    148,                0.74644,                0.63229,                  1.333,                0.81537,                0.76109,                0.86246,                0.66131,                0.76476,                0.69778,                 1.4173,               0.002773,               0.002773,               0.002773
                    149,                0.72632,                0.62674,                 1.3139,                0.86115,                0.74213,                0.85774,                0.65862,                0.74554,                0.69602,                 1.4033,              0.0027235,              0.0027235,              0.0027235
                    150,                0.72685,                0.61937,                 1.3091,                0.86611,                0.71838,                0.84795,                0.64616,                0.73361,                0.73477,                 1.3788,               0.002674,               0.002674,               0.002674
                    151,                0.73256,                0.62543,                 1.3182,                0.81979,                 0.7799,                0.87908,                0.67042,                0.71537,                0.68823,                 1.3561,              0.0026245,              0.0026245,              0.0026245
                    152,                0.71697,                0.61811,                 1.3059,                0.85538,                0.77591,                0.90178,                0.68471,                0.74377,                0.69697,                 1.3787,               0.002575,               0.002575,               0.002575
                    153,                0.73272,                0.63855,                 1.3272,                0.73715,                0.81215,                0.87273,                0.66644,                0.74379,                0.75461,                   1.39,              0.0025255,              0.0025255,              0.0025255
                    154,                0.73603,                0.63388,                  1.327,                0.83698,                0.79286,                0.89706,                0.68256,                0.73688,                  0.675,                 1.3893,               0.002476,               0.002476,               0.002476
