                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                0.85654,                0.96255,                 1.4909,                 0.7048,                0.87357,                0.87573,                0.62792,                0.20374,                0.85092,                 1.4771,               0.006238,               0.006238,               0.006238
                     79,                0.84069,                0.94656,                 1.4769,                0.74782,                0.86507,                0.88447,                0.63431,                0.21105,                0.83494,                 1.4877,              0.0061885,              0.0061885,              0.0061885
                     80,                0.86835,                0.94335,                 1.5051,                0.73324,                0.82668,                0.85565,                0.60327,                0.21549,                0.87556,                 1.5021,               0.006139,               0.006139,               0.006139
                     81,                0.84533,                0.95054,                 1.4961,                0.79206,                0.79035,                0.85909,                0.61625,                0.21358,                0.83125,                 1.4849,              0.0060895,              0.0060895,              0.0060895
                     82,                0.86047,                0.94121,                 1.4912,                0.73217,                0.86672,                 0.8689,                0.63751,                0.20194,                0.80598,                 1.4651,                0.00604,                0.00604,                0.00604
                     83,                0.84584,                0.93074,                 1.4807,                0.76536,                0.80832,                0.87018,                0.60433,                0.21965,                 0.8432,                 1.5029,              0.0059905,              0.0059905,              0.0059905
                     84,                0.84098,                0.93253,                 1.4788,                0.75408,                0.80779,                0.86322,                0.62038,                0.21745,                0.89605,                 1.5052,               0.005941,               0.005941,               0.005941
                     85,                 0.8342,                0.91582,                 1.4692,                 0.7655,                0.77711,                0.86496,                0.61974,                0.21913,                 0.8501,                 1.5093,              0.0058915,              0.0058915,              0.0058915
                     86,                0.85639,                0.94527,                 1.4927,                0.82573,                0.78435,                0.87771,                0.64824,                0.19226,                0.83907,                 1.4522,               0.005842,               0.005842,               0.005842
                     87,                0.83563,                0.91488,                 1.4686,                0.78338,                0.79157,                0.86617,                0.61655,                0.20021,                0.84728,                 1.4706,              0.0057925,              0.0057925,              0.0057925
                     88,                 0.8287,                0.92851,                 1.4655,                0.75341,                 0.7985,                0.86167,                0.61724,                0.20346,                0.86726,                 1.4678,               0.005743,               0.005743,               0.005743
                     89,                0.81043,                0.88813,                 1.4441,                0.82191,                0.74724,                0.86588,                0.63344,                0.19146,                 0.8321,                 1.4559,              0.0056935,              0.0056935,              0.0056935
                     90,                 0.8235,                0.89744,                 1.4534,                0.79455,                0.76464,                0.86366,                0.62889,                0.20484,                0.82255,                 1.4873,               0.005644,               0.005644,               0.005644
                     91,                0.81289,                0.88988,                 1.4401,                0.82837,                0.76859,                0.87587,                0.64281,                0.20149,                0.83721,                 1.4803,              0.0055945,              0.0055945,              0.0055945
                     92,                0.82986,                0.90147,                 1.4539,                0.82612,                0.75766,                0.87128,                0.62255,                0.20478,                 0.8504,                 1.4721,               0.005545,               0.005545,               0.005545
                     93,                0.81744,                0.89152,                 1.4505,                0.74451,                0.88582,                0.89885,                0.64961,                0.19704,                 0.8083,                 1.4564,              0.0054955,              0.0054955,              0.0054955
                     94,                0.80744,                0.88286,                 1.4421,                0.73761,                0.85824,                 0.8841,                   0.64,                0.20012,                0.82929,                 1.4651,               0.005446,               0.005446,               0.005446
                     95,                0.79761,                0.88259,                 1.4244,                0.79326,                0.77736,                0.87466,                0.61658,                0.21386,                0.83672,                 1.4951,              0.0053965,              0.0053965,              0.0053965
                     96,                0.79853,                0.87018,                 1.4265,                0.76214,                0.81159,                0.87535,                0.65221,                 0.1932,                0.80336,                 1.4366,               0.005347,               0.005347,               0.005347
                     97,                0.80911,                0.87199,                 1.4265,                0.79677,                0.80878,                0.88441,                0.63964,                0.19617,                0.80205,                 1.4519,              0.0052975,              0.0052975,              0.0052975
                     98,                0.79558,                0.85202,                 1.4232,                0.85813,                0.79509,                0.89372,                0.65459,                0.19898,                0.79966,                 1.4614,               0.005248,               0.005248,               0.005248
                     99,                0.80357,                0.85949,                 1.4303,                0.78763,                 0.8532,                0.90533,                  0.661,                0.20247,                0.77957,                 1.4556,              0.0051985,              0.0051985,              0.0051985
                    100,                0.79389,                0.85153,                 1.4131,                0.79219,                0.86934,                 0.9063,                0.65164,                0.19632,                0.77717,                 1.4364,               0.005149,               0.005149,               0.005149
                    101,                0.81072,                0.86851,                 1.4383,                0.80218,                0.80254,                0.90661,                0.66149,                0.19276,                0.78781,                 1.4396,              0.0050995,              0.0050995,              0.0050995
                    102,                0.80111,                0.85477,                 1.4195,                0.83389,                0.80034,                0.90379,                0.65858,                0.19065,                0.78448,                  1.437,                0.00505,                0.00505,                0.00505
                    103,                0.78844,                0.86295,                 1.4245,                0.79547,                0.87618,                0.91605,                0.65856,                0.18037,                0.76042,                 1.4173,              0.0050005,              0.0050005,              0.0050005
                    104,                0.78417,                0.84702,                 1.4058,                0.82958,                0.83211,                0.88999,                0.66946,                0.18191,                0.78437,                 1.4011,               0.004951,               0.004951,               0.004951
                    105,                0.79406,                0.86031,                 1.4282,                0.74132,                0.85175,                0.88653,                0.64188,                0.20952,                0.82914,                 1.4724,              0.0049015,              0.0049015,              0.0049015
                    106,                0.77343,                0.83456,                 1.3996,                0.84022,                0.80538,                0.88832,                0.64051,                0.19486,                 0.8103,                 1.4592,               0.004852,               0.004852,               0.004852
                    107,                0.77372,                0.83556,                 1.3962,                0.82919,                0.80097,                0.90128,                0.65852,                0.19137,                0.78075,                  1.435,              0.0048025,              0.0048025,              0.0048025
                    108,                0.76922,                0.81637,                 1.3905,                0.81235,                0.83545,                0.90572,                0.65352,                0.19069,                0.76739,                 1.4369,               0.004753,               0.004753,               0.004753
                    109,                 0.7604,                0.81296,                 1.3831,                0.79301,                0.84495,                0.90538,                0.66917,                 0.1872,                0.75888,                 1.4293,              0.0047035,              0.0047035,              0.0047035
                    110,                0.75752,                0.80525,                 1.3785,                 0.8484,                0.83379,                0.91659,                0.66923,                 0.1888,                 0.7445,                 1.4376,               0.004654,               0.004654,               0.004654
                    111,                 0.7754,                 0.8283,                 1.4015,                0.75129,                0.88556,                0.89863,                0.64415,                0.20371,                0.75211,                 1.4537,              0.0046045,              0.0046045,              0.0046045
                    112,                0.76521,                0.82372,                 1.3819,                0.76545,                0.84189,                0.90816,                0.64532,                0.20247,                0.76932,                 1.4508,               0.004555,               0.004555,               0.004555
                    113,                0.75104,                0.80651,                 1.3728,                0.83274,                0.81954,                0.91151,                0.67172,                0.17951,                0.75596,                 1.3991,              0.0045055,              0.0045055,              0.0045055
                    114,                0.75848,                0.81228,                 1.3763,                0.85874,                0.80817,                0.91481,                0.68354,                0.17657,                0.74184,                  1.388,               0.004456,               0.004456,               0.004456
                    115,                0.73608,                0.79495,                 1.3618,                0.85027,                0.78523,                0.90326,                0.68446,                0.16792,                0.73922,                 1.3752,              0.0044065,              0.0044065,              0.0044065
                    116,                0.74597,                0.79235,                 1.3663,                0.76087,                0.83145,                 0.8952,                0.65945,                0.17708,                0.76064,                 1.4051,               0.004357,               0.004357,               0.004357
                    117,                0.74565,                0.79259,                 1.3654,                0.83141,                0.83168,                0.91715,                0.68248,                0.17301,                0.72884,                 1.3923,              0.0043075,              0.0043075,              0.0043075
                    118,                0.75939,                0.80491,                 1.3869,                0.77518,                0.86412,                0.91361,                0.67577,                0.17813,                 0.7445,                 1.4053,               0.004258,               0.004258,               0.004258
                    119,                0.75665,                0.80378,                  1.375,                0.76073,                0.85942,                0.90696,                0.68235,                0.17452,                0.76443,                  1.391,              0.0042085,              0.0042085,              0.0042085
                    120,                0.74524,                0.79943,                 1.3652,                 0.8516,                0.86149,                0.92137,                0.68172,                0.17896,                 0.7216,                 1.3981,               0.004159,               0.004159,               0.004159
                    121,                0.72565,                0.78654,                 1.3426,                0.82346,                0.84156,                 0.9203,                0.67465,                0.18081,                0.74997,                 1.4022,              0.0041095,              0.0041095,              0.0041095
                    122,                0.74688,                0.79534,                 1.3672,                0.81872,                0.81143,                0.91692,                0.67154,                0.18364,                0.73023,                 1.4126,                0.00406,                0.00406,                0.00406
                    123,                0.72809,                0.77703,                 1.3476,                0.85069,                0.78092,                0.92404,                0.70128,                0.17087,                0.73014,                 1.3889,              0.0040105,              0.0040105,              0.0040105
                    124,                0.74268,                0.77928,                 1.3529,                 0.7923,                0.85855,                0.92278,                0.68541,                0.17634,                0.74498,                 1.4033,               0.003961,               0.003961,               0.003961
                    125,                 0.7252,                0.76952,                 1.3448,                0.79272,                0.81554,                0.91103,                0.65631,                0.18355,                0.76265,                 1.4103,              0.0039115,              0.0039115,              0.0039115
                    126,                0.71918,                0.76486,                 1.3348,                 0.7983,                0.84196,                0.91453,                0.66636,                0.17617,                0.75975,                 1.3884,               0.003862,               0.003862,               0.003862
                    127,                0.73713,                0.78111,                 1.3617,                0.79855,                 0.8334,                0.90863,                0.67205,                0.17798,                0.75214,                 1.3989,              0.0038125,              0.0038125,              0.0038125
                    128,                0.71299,                0.75838,                  1.331,                0.79375,                0.83311,                0.90603,                0.67959,                 0.1772,                0.71636,                 1.3959,               0.003763,               0.003763,               0.003763
                    129,                0.73147,                0.75977,                 1.3437,                 0.7382,                 0.8549,                0.90202,                0.65553,                0.18043,                0.76221,                 1.4055,              0.0037135,              0.0037135,              0.0037135
                    130,                0.72457,                0.75309,                 1.3369,                0.84874,                0.72279,                0.88612,                0.65467,                0.17826,                 0.7582,                 1.4052,               0.003664,               0.003664,               0.003664
                    131,                0.72489,                0.75602,                 1.3413,                0.80444,                0.87453,                0.91834,                0.70369,                0.16681,                0.69343,                 1.3693,              0.0036145,              0.0036145,              0.0036145
                    132,                0.72941,                0.75896,                 1.3396,                0.84202,                0.80209,                0.90826,                0.68057,                0.18027,                0.72325,                 1.4127,               0.003565,               0.003565,               0.003565
                    133,                0.72661,                0.76686,                 1.3401,                0.75565,                0.83367,                0.90514,                0.68909,                0.16613,                0.70943,                 1.3739,              0.0035155,              0.0035155,              0.0035155
                    134,                0.72285,                0.76021,                 1.3333,                0.80263,                0.89139,                0.92588,                0.69772,                0.16955,                0.68856,                 1.3771,               0.003466,               0.003466,               0.003466
                    135,                0.70127,                 0.7413,                 1.3195,                0.82605,                0.90469,                0.93363,                0.70503,                0.16892,                0.71201,                 1.3807,              0.0034165,              0.0034165,              0.0034165
                    136,                0.71388,                0.73746,                  1.327,                0.78498,                0.88759,                 0.9111,                 0.6832,                 0.1752,                0.73998,                 1.4058,               0.003367,               0.003367,               0.003367
                    137,                0.70476,                 0.7413,                 1.3253,                0.86413,                0.83343,                0.92453,                0.69373,                0.16731,                0.69932,                 1.3762,              0.0033175,              0.0033175,              0.0033175
                    138,                0.70715,                0.73313,                 1.3143,                 0.8653,                0.88121,                 0.9377,                 0.6927,                0.17303,                0.69093,                 1.3839,               0.003268,               0.003268,               0.003268
                    139,                0.72851,                0.75058,                 1.3415,                0.83729,                0.84554,                0.92143,                0.68215,                0.17346,                0.70287,                 1.3878,              0.0032185,              0.0032185,              0.0032185
                    140,                0.69467,                0.73815,                 1.3153,                0.77928,                0.86741,                 0.9214,                0.69533,                0.16631,                0.68952,                 1.3701,               0.003169,               0.003169,               0.003169
                    141,                0.70769,                0.74824,                 1.3278,                0.81199,                0.81455,                0.91344,                 0.6835,                0.17577,                0.71242,                 1.3927,              0.0031195,              0.0031195,              0.0031195
                    142,                0.69722,                0.73901,                 1.3232,                0.80833,                0.88405,                0.91797,                0.68556,                0.17609,                0.67884,                 1.3869,                0.00307,                0.00307,                0.00307
                    143,                0.70913,                0.74136,                 1.3319,                0.79722,                0.91542,                0.92802,                0.69727,                0.16717,                0.65927,                 1.3705,              0.0030205,              0.0030205,              0.0030205
                    144,                0.70459,                0.72878,                 1.3246,                0.79739,                0.84777,                0.92112,                0.67959,                0.17352,                0.69263,                 1.3892,               0.002971,               0.002971,               0.002971
                    145,                0.69932,                0.72697,                 1.3041,                0.86871,                0.86328,                0.93913,                0.71042,                 0.1601,                0.67681,                 1.3528,              0.0029215,              0.0029215,              0.0029215
                    146,                0.70832,                0.73456,                  1.315,                0.83857,                0.89169,                0.94529,                0.70426,                 0.1606,                0.66342,                 1.3585,               0.002872,               0.002872,               0.002872
                    147,                0.68881,                 0.7207,                 1.3085,                0.82976,                0.86222,                0.93315,                0.71104,                0.15766,                0.66823,                 1.3495,              0.0028225,              0.0028225,              0.0028225
                    148,                0.69166,                0.72728,                 1.3103,                0.79532,                0.83969,                0.90882,                0.69009,                0.16221,                0.69511,                 1.3644,               0.002773,               0.002773,               0.002773
                    149,                0.69031,                0.71951,                 1.3023,                0.81285,                0.90872,                0.93382,                0.70414,                0.15615,                0.65896,                 1.3459,              0.0027235,              0.0027235,              0.0027235
                    150,                0.68498,                0.71966,                 1.3084,                0.80386,                 0.9211,                 0.9401,                0.70816,                0.16128,                 0.6746,                  1.357,               0.002674,               0.002674,               0.002674
                    151,                0.69774,                0.73332,                 1.3224,                0.83912,                0.88868,                0.93065,                0.69454,                0.16766,                0.67824,                 1.3786,              0.0026245,              0.0026245,              0.0026245
                    152,                0.68407,                0.71074,                 1.2975,                0.83265,                0.85032,                0.91855,                0.68083,                0.17683,                0.69728,                 1.3946,               0.002575,               0.002575,               0.002575
                    153,                0.69366,                0.71393,                 1.2986,                0.83403,                0.79612,                0.91643,                0.68929,                 0.1645,                0.69644,                 1.3635,              0.0025255,              0.0025255,              0.0025255
                    154,                0.68606,                0.72079,                 1.3093,                0.79218,                0.88439,                 0.9196,                0.69004,                0.16943,                0.68912,                 1.3758,               0.002476,               0.002476,               0.002476
